Genes,Pathways
RPTOR,path:hsa04151;path:hsa04213;path:hsa04140;path:hsa04136;path:hsa04152;path:hsa04714;path:hsa04211;path:hsa05131;path:hsa05206;path:hsa04910;path:hsa04150;WP1403;WP1471;WP3844;WP3850;WP3915;WP3932;WP4018;WP4172;WP4321;WP4538;WP4539;WP4549;WP4566;WP4577;WP4674;WP4746;WP4754;WP4874;WP4923;WP585
ALDH4A1,path:hsa00250;path:hsa00330;WP4657;WP4963
PSMD12,path:hsa05020;path:hsa05022;path:hsa05010;path:hsa05014;path:hsa05016;path:hsa05017;path:hsa03050;path:hsa05012;path:hsa05169;WP183;WP2359;WP4352
EFNA2,path:hsa04151;path:hsa04014;path:hsa04360;path:hsa04015;path:hsa04010;path:hsa05206;WP3932;WP4172;WP4561
BRMS1L,WP4286
APOBEC3C,path:hsa05170
KIR3DL2,path:hsa05332;path:hsa04650;path:hsa04612
CYBRD1,path:hsa04978
TEAD3,path:hsa04390;path:hsa04392;WP3967;WP4533;WP4534;WP4537;WP4540;WP4541;WP4542
OR10J1,path:hsa04740;WP455
EXOC3,WP4352
TSSK2,WP4657
CDC26,path:hsa04110;path:hsa04114;path:hsa04120;path:hsa05166;path:hsa04914
MCAT,path:hsa00061;WP4317
DHDDS,path:hsa00900
AHDC1,WP2857
ORM2,WP2877
LRIG2,path:hsa04360
NAT10,path:hsa03008;WP702
ZNF584,path:hsa05168
PNN,path:hsa03015;path:hsa03013
BBS2,WP4352;WP4536;WP4656;WP4803
ARMC9,WP4536;WP4656
NXF2,path:hsa03008;path:hsa05014;path:hsa03015;path:hsa03013;path:hsa05164;path:hsa05168
GRIA3,path:hsa05022;path:hsa05031;path:hsa04728;path:hsa04724;path:hsa04730;path:hsa05016;path:hsa05033;path:hsa05017;path:hsa04713;path:hsa04024;path:hsa05202;path:hsa04080;path:hsa04723;WP2380;WP2636;WP3584;WP4760
SCARB1,path:hsa04927;path:hsa04925;path:hsa04934;path:hsa04913;path:hsa04976;path:hsa04145;path:hsa04979;path:hsa04975;path:hsa04977;path:hsa05160;WP176;WP15;WP1533;WP1982;WP430;WP4846;WP716
EIF4G2,path:hsa05416;path:hsa03013;WP3888;WP410;WP4298
SOX8,WP3527;WP4814;WP4842
NCR3,path:hsa04650
ZNF585A,path:hsa05168
FOXN3,WP4754
NUDT12,path:hsa00760;path:hsa04146
JUN,path:hsa04660;path:hsa05171;path:hsa04510;path:hsa04926;path:hsa04921;path:hsa04662;path:hsa05133;path:hsa05132;path:hsa05135;path:hsa05235;path:hsa05030;path:hsa05031;path:hsa05231;path:hsa04932;path:hsa04933;path:hsa04530;path:hsa05321;path:hsa04659;path:hsa04658;path:hsa04912;path:hsa05211;path:hsa05224;path:hsa04310;path:hsa04668;path:hsa05166;path:hsa04137;path:hsa05120;path:hsa05417;path:hsa05142;path:hsa04621;path:hsa04024;path:hsa04915;path:hsa05418;path:hsa04625;path:hsa04657;path:hsa04010;path:hsa05140;path:hsa05131;path:hsa05130;path:hsa05323;path:hsa05200;path:hsa05203;path:hsa04012;path:hsa04620;path:hsa04380;path:hsa05170;path:hsa04210;path:hsa05169;path:hsa05210;path:hsa05161;path:hsa05162;path:hsa04722;path:hsa05167;WP127;WP138;WP1449;WP1528;WP1772;WP195;WP1984;WP2018;WP2032;WP2036;WP2037;WP2516;WP23;WP231;WP2324;WP2380;WP254;WP286;WP2873;WP2880;WP2881;WP2882;WP289;WP306;WP313;WP314;WP3286;WP3301;WP3612;WP3646;WP366;WP3680;WP382;WP3863;WP3888;WP3927;WP3931;WP399;WP4216;WP422;WP4258;WP4262;WP428;WP4336;WP4341;WP437;WP4396;WP4496;WP4560;WP4561;WP4564;WP4565;WP4585;WP4659;WP4666;WP4747;WP4754;WP481;WP4816;WP4877;WP4880;WP49;WP4906;WP4919;WP4928;WP560;WP615;WP673;WP69;WP706;WP710;WP712;WP75
HGS,path:hsa04145;path:hsa04144;WP366;WP4301;WP3888;WP437
ZNF331,path:hsa05168
ZNF430,path:hsa05168
BCAP31,path:hsa04141;path:hsa05165
ZEB1,path:hsa05215;path:hsa05206;path:hsa05202;WP2943;WP366;WP4018;WP4239;WP4337;WP516
LAMTOR4,path:hsa04150
HOXC9,WP2895
CLEC4G,WP4217
FZD6,path:hsa05022;path:hsa04934;path:hsa05226;path:hsa05224;path:hsa04310;path:hsa05010;path:hsa04550;path:hsa05217;path:hsa05225;path:hsa04390;path:hsa05205;path:hsa05200;path:hsa04916;path:hsa04150;path:hsa05165;WP3680;WP3931;WP399;WP4150;WP4239;WP4258;WP4262;WP428;WP4336;WP4787
COLEC11,path:hsa04145;WP2877
MYH11,path:hsa04530;path:hsa04810;path:hsa04270;path:hsa05130;WP3888
PNKP,WP4752;WP4946
TRPV1,path:hsa04750;path:hsa04080;WP3947;WP4721
GAL3ST1,path:hsa00565;path:hsa00600;WP1422;WP702
CFHR5,path:hsa04610
GMPPA,path:hsa00051;path:hsa00520
HOXD11,WP4823;WP5053
PTGDS,path:hsa00590;WP167;WP4719;WP4814;WP4842;WP98
NFKBIA,path:hsa05220;path:hsa04660;path:hsa05171;path:hsa04926;path:hsa04920;path:hsa04662;path:hsa05132;path:hsa05135;path:hsa05134;path:hsa05235;path:hsa04931;path:hsa05222;path:hsa04062;path:hsa04659;path:hsa04658;path:hsa04668;path:hsa05215;path:hsa05166;path:hsa04623;path:hsa05120;path:hsa05417;path:hsa05142;path:hsa04621;path:hsa04622;path:hsa04024;path:hsa04625;path:hsa04657;path:hsa05140;path:hsa05145;path:hsa05131;path:hsa05130;path:hsa05200;path:hsa05203;path:hsa05160;path:hsa04620;path:hsa04380;path:hsa05170;path:hsa04210;path:hsa04064;path:hsa05163;path:hsa05169;path:hsa05164;path:hsa05161;path:hsa05162;path:hsa04722;path:hsa05167;path:hsa05168;WP1433;WP1449;WP1772;WP195;WP2018;WP2036;WP2037;WP2203;WP23;WP231;WP2324;WP2355;WP2374;WP2380;WP254;WP262;WP3303;WP3414;WP3863;WP3865;WP395;WP3888;WP3929;WP4008;WP4479;WP4480;WP4481;WP4482;WP4496;WP4562;WP4655;WP4658;WP4659;WP4754;WP4880;WP4919;WP4961;WP5072;WP69;WP75
DHRS9,path:hsa00830
SRF,path:hsa05166;path:hsa04010;path:hsa05203;path:hsa04022;WP1591;WP1991;WP1992;WP2023;WP2029;WP2857;WP382;WP3888;WP4535;WP4657;WP481;WP732;WP734
TFRC,path:hsa04066;path:hsa04216;path:hsa04145;path:hsa04640;path:hsa04144;WP2007;WP4313;WP4906
GRK7,path:hsa04062;path:hsa04144;path:hsa04744
TNFRSF17,path:hsa04060;path:hsa04672;WP4286
HGF,path:hsa05223;path:hsa04510;path:hsa04151;path:hsa05218;path:hsa05226;path:hsa04014;path:hsa05211;path:hsa05144;path:hsa05225;path:hsa04020;path:hsa04015;path:hsa04010;path:hsa05205;path:hsa05200;WP2848;WP2870;WP2882;WP2884;WP306;WP313;WP3624;WP3932;WP4172;WP4806
GPR20,WP455
KLK3,path:hsa05215;path:hsa05200;WP138
FAM13A,WP3624
ENC1,WP2880;WP2882
FDPS,path:hsa05166;path:hsa00900;path:hsa05164;WP197;WP1982;WP4718
RPS9,path:hsa05171;path:hsa03010;WP477
KCNQ1,path:hsa04971;path:hsa04261;path:hsa04974;path:hsa04972;path:hsa04725;path:hsa05110;WP1992;WP706
SLC16A1,WP3614;WP4549
S100A4,WP2877
LDLR,path:hsa04927;path:hsa04925;path:hsa04934;path:hsa04913;path:hsa04976;path:hsa05417;path:hsa04979;path:hsa05145;path:hsa05160;path:hsa04144;WP176;WP15;WP1533;WP1982;WP2011;WP2374;WP2846;WP3408;WP3601;WP399;WP430;WP4389;WP4522;WP710
PTPRU,WP581
ELANE,path:hsa05322;path:hsa04613;path:hsa05202;WP2806;WP4329
NEDD4,path:hsa04530;path:hsa04120;path:hsa04144;path:hsa05169;WP183;WP4217;WP437;WP4904
DGUOK,path:hsa00230
PRPF38A,path:hsa03040;WP3584
AGAP1,path:hsa04144
NR1I3,WP170;WP2289;WP2875;WP2880;WP2882;WP299
PKN1,path:hsa04151;path:hsa05132;path:hsa05135;path:hsa04621;WP2864;WP4172;WP4754;WP524
IL1R2,path:hsa05146;path:hsa05215;path:hsa05166;path:hsa05418;path:hsa04640;path:hsa05202;path:hsa04060;WP1772;WP382
TMPRSS2,path:hsa05171;path:hsa05215;path:hsa05202;path:hsa05164;WP4883;WP4891;WP5038
F2,path:hsa04610;path:hsa04611;path:hsa05171;path:hsa04810;path:hsa04072;path:hsa05130;path:hsa05200;path:hsa04080;WP176;WP15;WP1533;WP272;WP2865;WP51;WP558
ACMSD,path:hsa00380;WP3645;WP465
KIRREL2,WP2572
RPL19,path:hsa05171;path:hsa03010;WP477
EP300,path:hsa04350;path:hsa04520;path:hsa04935;path:hsa04110;path:hsa04066;path:hsa04630;path:hsa05211;path:hsa04310;path:hsa05016;path:hsa04068;path:hsa05215;path:hsa05166;path:hsa04720;path:hsa04922;path:hsa04024;path:hsa05152;path:hsa05206;path:hsa05200;path:hsa05203;path:hsa04916;path:hsa04330;path:hsa05164;path:hsa04919;path:hsa05161;path:hsa05165;path:hsa05167;WP179;WP138;WP1541;WP1984;WP2261;WP2586;WP2873;WP2882;WP304;WP3414;WP3651;WP3657;WP366;WP395;WP399;WP3995;WP4018;WP4217;WP4241;WP4666;WP4673;WP4816;WP4874;WP5039;WP560;WP61;WP706
SNRPF,path:hsa03040;WP411
RILP,path:hsa05132;path:hsa04145
CDK8,WP1982;WP3969;WP4258
IL1B,path:hsa05020;path:hsa05022;path:hsa04750;path:hsa05171;path:hsa05133;path:hsa05132;path:hsa05135;path:hsa05134;path:hsa05332;path:hsa04932;path:hsa04933;path:hsa05321;path:hsa04659;path:hsa04940;path:hsa05010;path:hsa05146;path:hsa05143;path:hsa04668;path:hsa05144;path:hsa04623;path:hsa05417;path:hsa05142;path:hsa04621;path:hsa05418;path:hsa04217;path:hsa04625;path:hsa04640;path:hsa04657;path:hsa05152;path:hsa04010;path:hsa05140;path:hsa05131;path:hsa05130;path:hsa05323;path:hsa04620;path:hsa04380;path:hsa04064;path:hsa04060;path:hsa05163;path:hsa05164;path:hsa05162;path:hsa05168;WP176;WP1433;WP1449;WP1455;WP15;WP1533;WP195;WP2034;WP2059;WP2328;WP2431;WP2865;WP2873;WP2882;WP289;WP3617;WP3624;WP382;WP3890;WP3893;WP4008;WP4396;WP4496;WP4655;WP4754;WP4876;WP4891;WP4925;WP4961;WP4969;WP5046;WP530;WP615;WP619;WP69;WP706;WP727;WP75
PRRG4,WP2880;WP2882
ARID5B,WP2857;WP3407;WP3651
PSMA1,path:hsa05020;path:hsa05022;path:hsa05010;path:hsa05014;path:hsa05016;path:hsa05017;path:hsa03050;path:hsa05012;WP183
POLE3,path:hsa03410;path:hsa03030;path:hsa03420;WP4022;WP4752;WP4753;WP4946;WP531
IQGAP1,path:hsa04520;path:hsa04810;path:hsa05205;WP3888;WP4217;WP4352;WP437;WP51;WP524
TMPO,WP4535;WP4879
SCAP,WP1982
DPEP1,WP167;WP4721
GATA2,WP236;WP3527;WP3888;WP4149;WP4211;WP706
ID4,path:hsa04350;path:hsa04550;WP2877
U2AF2,path:hsa03040;WP411
NTF3,path:hsa04151;path:hsa04014;path:hsa04010;path:hsa04722;WP2380;WP382;WP4172
INHBC,path:hsa04350;path:hsa04550;path:hsa04060
XCL1,path:hsa04062;path:hsa04060;path:hsa04061;WP3929
COQ8B,WP4758
UGT1A4,path:hsa00830;path:hsa00140;path:hsa04976;path:hsa00980;path:hsa00983;path:hsa00982;path:hsa00860;path:hsa05204;path:hsa00053;path:hsa00040;WP1600;WP2873;WP2875;WP2876;WP2882;WP2884;WP691;WP694;WP698;WP702
CCN4,path:hsa04310;WP4754
PLIN2,path:hsa03320;WP236
HYKK,path:hsa00310
ZNF562,path:hsa05168
GFRA1,WP410;WP4830;WP5053
CDH8,WP2858;WP4540;WP4541
SLC12A5,path:hsa04727;WP4829
VDR,path:hsa04928;path:hsa04961;path:hsa04978;path:hsa05152;WP170;WP1531;WP2289;WP2877;WP2882;WP299;WP34;WP4141;WP4341;WP4342;WP4482;WP4698;WP4969
ORAI2,path:hsa04020
HDAC1,path:hsa05220;path:hsa05031;path:hsa05034;path:hsa04110;path:hsa04213;path:hsa05016;path:hsa04613;path:hsa05206;path:hsa05200;path:hsa05203;path:hsa05202;path:hsa04330;path:hsa05169;path:hsa04919;path:hsa05165;WP179;WP138;WP1541;WP1984;WP2036;WP2064;WP2446;WP268;WP2864;WP3414;WP3584;WP364;WP366;WP3871;WP3888;WP3996;WP4312;WP4320;WP4352;WP4533;WP4879;WP61;WP706
SFTPC,WP3624
GMNN,WP466
ACVR1C,path:hsa04350;path:hsa04550;path:hsa04060
REXO1,path:hsa03008
SRPRB,path:hsa03060
MUTYH,path:hsa03410;WP4752;WP4946
DYRK1A,WP2583
NOS1AP,path:hsa04713;WP706
ELOVL2,path:hsa01040;path:hsa00062;WP2858;WP4718;WP4723;WP4724;WP4853
KCNK3,path:hsa04927;path:hsa04925;path:hsa04934;WP1602
CD2,path:hsa04514;path:hsa04640;WP4884
EN1,WP2855;WP706
RPL24,path:hsa05171;path:hsa03010;WP477
GALNT1,path:hsa00512;path:hsa00514;WP4142
MYO10,path:hsa04666;path:hsa05130
ZBTB33,WP399
CCR7,path:hsa04062;path:hsa04060;path:hsa04061;WP24;WP3929;WP4494;WP4542;WP455
PSRC1,WP2586
B9D2,WP4656;WP4803
SCAF11,WP254
IGF2R,path:hsa04142;path:hsa04144
COL4A4,path:hsa04512;path:hsa04510;path:hsa04926;path:hsa04151;path:hsa04933;path:hsa05222;path:hsa05146;path:hsa04974;path:hsa05200;path:hsa05165;WP2572;WP306;WP3932;WP4172;WP4239;WP4658;WP4758
ANGPTL3,path:hsa04979
KDM2B,WP4553
EFNB1,path:hsa04360;WP4561
DDB1,path:hsa04120;path:hsa05203;path:hsa05170;path:hsa03420;path:hsa05161;WP4541;WP4666;WP4753;WP4946
PAX9,WP2853
GLMN,path:hsa05131
GLI4,WP4204
MDN1,path:hsa03008
NELFE,WP3414
NGLY1,path:hsa04141
CDC45,path:hsa04110;WP179;WP2446;WP45;WP466;WP4657
GTF2H3,path:hsa03022;path:hsa05203;path:hsa03420;WP405;WP4753;WP4946
CCR3,path:hsa04062;path:hsa05203;path:hsa04060;path:hsa04061;path:hsa05163;path:hsa05167;WP24;WP286;WP2865;WP3624;WP3929;WP4298;WP4494;WP455
UBE2H,path:hsa04120;WP4352
IGFBP5,WP2877;WP289;WP3850;WP615
RBCK1,path:hsa04621;path:hsa04217;path:hsa05131;WP1449
CDKAL1,WP2877
LIN9,path:hsa04218;WP2361
TIGAR,path:hsa00051;path:hsa05230;WP4286;WP4290;WP4963
DGKG,path:hsa00561;path:hsa00564;path:hsa05231;path:hsa04070;path:hsa04072
RHOBTB2,path:hsa04120;WP4312
INPP5K,path:hsa00562;WP268;WP3888;WP4320
SKP1,path:hsa04710;path:hsa04350;path:hsa05132;path:hsa04110;path:hsa04114;path:hsa04120;path:hsa04310;path:hsa04141;path:hsa05131;path:hsa05200;path:hsa05170;WP179;WP231;WP366;WP4262;WP4658;WP61
CDC20B,WP1530
C1R,path:hsa04610;path:hsa05171;path:hsa05133;path:hsa05322;path:hsa04145;path:hsa05150;WP3941;WP545;WP558
P4HB,path:hsa04141;WP3888;WP4786
NUDT9,path:hsa00230
TFDP1,path:hsa04350;path:hsa04110;WP179;WP2446;WP366;WP45
ZNF275,path:hsa05168
PER1,path:hsa04710;path:hsa04713;WP3298;WP410
MAP3K6,path:hsa04010;WP382;WP3915;WP481
POMT1,path:hsa00514;path:hsa00515
SH3GL1,path:hsa04144;WP4549
DHH,path:hsa04340;WP4249;WP47;WP4814;WP4842
TEAD2,path:hsa04390;path:hsa04392;WP2857;WP3967;WP4533;WP4534;WP4537;WP4540;WP4541;WP4542
TRAP1,path:hsa05022;path:hsa05012;WP231;WP366
TKTL1,path:hsa00030
DDAH1,WP2857;WP4947
TP53INP2,path:hsa04140
PHEX,WP4790
PPIL2,path:hsa04120
SEM1,path:hsa05020;path:hsa05022;path:hsa05010;path:hsa05014;path:hsa05016;path:hsa05017;path:hsa03050;path:hsa03440;path:hsa05012;path:hsa05169
GGT1,path:hsa00480;path:hsa00590;path:hsa00430;WP167;WP100;WP15;WP2882;WP2884;WP4518;WP4698
IL1RN,path:hsa04060;WP2034;WP4496;WP706
GRB10,path:hsa04150;WP304;WP3844;WP3888;WP4018;WP437;WP481
CSTF3,path:hsa03015;WP411
PSIP1,WP3584
TSPO,path:hsa05166;path:hsa04979;path:hsa04080;WP4008
SLC9A3,path:hsa04976;path:hsa04964;path:hsa04978;path:hsa04974;WP4659;WP4917;WP706
GUCA2A,WP289
BMP8B,path:hsa04350;path:hsa04714;path:hsa04390;path:hsa04060;WP4321
TRPC4,path:hsa04929;path:hsa04360
ORAI3,path:hsa04020
BCAS3,WP2858
NIPA2,WP3998;WP4940
PTK6,WP306;WP437
MYL12A,path:hsa04611;path:hsa04510;path:hsa05132;path:hsa04530;path:hsa04810;path:hsa04360;path:hsa05131;path:hsa04670;WP306
ZNF567,path:hsa05168
ABCC12,path:hsa02010
UBE2D1,path:hsa04120;path:hsa04141;path:hsa05131;WP183
GRIN2A,path:hsa05020;path:hsa05022;path:hsa05030;path:hsa05031;path:hsa05034;path:hsa04728;path:hsa04724;path:hsa05322;path:hsa04014;path:hsa05010;path:hsa05014;path:hsa05033;path:hsa05017;path:hsa04720;path:hsa04713;path:hsa04024;path:hsa04020;path:hsa04015;path:hsa04080;WP2059;WP2636;WP4008;WP4222;WP4223;WP4312;WP4539;WP4549;WP4685;WP4698;WP4875
PON2,WP136;WP4673
RXRA,path:hsa05223;path:hsa04928;path:hsa04151;path:hsa04920;path:hsa04932;path:hsa05222;path:hsa04659;path:hsa04976;path:hsa05226;path:hsa05417;path:hsa03320;path:hsa05200;path:hsa05202;path:hsa05160;path:hsa05216;path:hsa04919;WP170;WP1531;WP1541;WP236;WP2874;WP2875;WP2876;WP2877;WP2878;WP2879;WP2880;WP2882;WP2884;WP3599;WP3915;WP3942;WP3995;WP4141;WP4255;WP4341;WP4342;WP4396;WP4482;WP4658;WP4698;WP4746;WP716
NAP1L1,WP3888;WP4879
KDELR3,path:hsa05110
CD7,path:hsa04640
COL17A1,path:hsa04974
FAR2,path:hsa04146
OTUD7B,WP231
UTRN,WP2572
MYRIP,WP2291
THOP1,path:hsa04614;path:hsa05143
IQSEC1,path:hsa04144;WP437
EIF2A,WP3613;WP3888
ACSF3,path:hsa00061;path:hsa00280
TUBAL3,path:hsa05020;path:hsa05022;path:hsa05132;path:hsa04530;path:hsa04145;path:hsa05010;path:hsa05014;path:hsa05016;path:hsa04540;path:hsa05130;path:hsa05012;path:hsa04210;WP2272;WP2359
CER1,path:hsa04310;WP2853;WP4258;WP428;WP4336
GDF10,path:hsa04060;WP236
ZNF597,path:hsa05168
TPSB2,path:hsa05164
KCNJ1,path:hsa04960;path:hsa04971
PF4,path:hsa04062;path:hsa04060;path:hsa04061;WP3929;WP5039
RSPO3,path:hsa04310
RMI2,path:hsa03460
TNFSF14,path:hsa04064;path:hsa04060;path:hsa04061;path:hsa05168
MED4,path:hsa04919
DCLRE1C,path:hsa05340;path:hsa03450;WP3878;WP438;WP4946
NDUFV1,path:hsa05020;path:hsa05022;path:hsa04932;path:hsa05415;path:hsa05010;path:hsa05014;path:hsa05016;path:hsa04714;path:hsa00190;path:hsa05012;path:hsa04723;WP111;WP4396;WP623
SLC1A2,path:hsa04724;path:hsa05014;path:hsa05016;path:hsa04721
MTOR,path:hsa05022;path:hsa04151;path:hsa04920;path:hsa05235;path:hsa05230;path:hsa05231;path:hsa04930;path:hsa04931;path:hsa04935;path:hsa04066;path:hsa04630;path:hsa05415;path:hsa04213;path:hsa05221;path:hsa04659;path:hsa05226;path:hsa05224;path:hsa04140;path:hsa05010;path:hsa05014;path:hsa05016;path:hsa05017;path:hsa05215;path:hsa04136;path:hsa04152;path:hsa04714;path:hsa04613;path:hsa05225;path:hsa05214;path:hsa04211;path:hsa04371;path:hsa04072;path:hsa05131;path:hsa05205;path:hsa05206;path:hsa05200;path:hsa04012;path:hsa04910;path:hsa05170;path:hsa04218;path:hsa05163;path:hsa05212;path:hsa05210;path:hsa04150;path:hsa04919;path:hsa05165;path:hsa05167;path:hsa05168;WP1403;WP1471;WP1544;WP1584;WP1982;WP1984;WP2011;WP2018;WP2032;WP2034;WP2035;WP2037;WP2203;WP2374;WP2380;WP244;WP2795;WP2870;WP3584;WP363;WP3676;WP3844;WP3850;WP3878;WP3879;WP3888;WP3915;WP3931;WP3932;WP4018;WP4141;WP4172;WP4186;WP4191;WP4262;WP4263;WP4321;WP437;WP4538;WP4539;WP4540;WP4549;WP4566;WP4577;WP4656;WP4659;WP4674;WP4746;WP4806;WP481;WP4838;WP4874;WP4919;WP4923;WP585;WP615;WP673
ZNF714,path:hsa05168
CLSTN1,WP4148
LSM4,path:hsa03040;path:hsa03018;WP4352
RASSF5,path:hsa05223;path:hsa04014;path:hsa04015;path:hsa05200;path:hsa04670;path:hsa04218;WP4136;WP4223;WP4255;WP4542
LPCAT2,path:hsa00565;path:hsa00564
ADCYAP1R1,path:hsa04911;path:hsa04713;path:hsa04024;path:hsa04924;path:hsa04080;WP334;WP706
NEU3,path:hsa00511;path:hsa00600
ALDH6A1,path:hsa00562;path:hsa00410;path:hsa00640;path:hsa00280
ATG10,path:hsa04140;path:hsa04136;WP2509;WP4577;WP615
ASCC3,WP2857;WP3888
RAPGEF5,path:hsa04014;path:hsa04015;WP4018;WP4223
NDUFAF5,path:hsa04714
ADRA2C,path:hsa04080;path:hsa04022;WP455;WP58
B9D1,WP4536;WP4656;WP4803
KCNN4,path:hsa04929;path:hsa04911;path:hsa04974;path:hsa04970
ALG9,path:hsa00513;path:hsa00510
IP6K1,path:hsa04070
TIMP3,path:hsa05205;path:hsa05206;WP129;WP1539;WP2374;WP2877;WP474;WP4754;WP4808
PRDM16,path:hsa00310;path:hsa04714;WP2895;WP3407;WP4321;WP4746
HDAC2,path:hsa05220;path:hsa05031;path:hsa05034;path:hsa04110;path:hsa04213;path:hsa05016;path:hsa04613;path:hsa05206;path:hsa05200;path:hsa05203;path:hsa05202;path:hsa04330;path:hsa05169;path:hsa04919;path:hsa05165;WP179;WP2064;WP268;WP3414;WP3996;WP4320;WP4352;WP5039;WP61
QRSL1,path:hsa00970
ZNF416,path:hsa05168
HCCS,path:hsa00860
CSNK2A2,path:hsa05020;path:hsa05022;path:hsa05235;path:hsa04520;path:hsa03008;path:hsa04310;path:hsa05010;path:hsa04137;path:hsa04064;path:hsa05162;WP2328;WP4258;WP4262;WP428;WP4336
SLC34A3,path:hsa04928;path:hsa04978;WP4790;WP4917
CADM1,path:hsa04514;WP4148
SIGLEC9,path:hsa04613
CSNK2B,path:hsa05020;path:hsa05022;path:hsa05235;path:hsa04520;path:hsa03008;path:hsa04310;path:hsa05010;path:hsa04137;path:hsa04064;path:hsa05162;WP4258;WP4262;WP428;WP4336
CLNS1A,path:hsa03013
JAG2,path:hsa04658;path:hsa05224;path:hsa05200;path:hsa04330;WP268;WP3413;WP3845;WP4239;WP4262;WP4787;WP61
RPL36,path:hsa05171;path:hsa03010;WP477
CAV2,path:hsa05020;path:hsa04510;path:hsa05100;path:hsa05418;path:hsa05205;path:hsa04144;WP185;WP306;WP4148;WP4217;WP437
CST3,path:hsa04970
RPP25L,path:hsa03008;path:hsa03013
EIF4E,path:hsa04151;path:hsa04066;path:hsa03013;path:hsa04211;path:hsa04910;path:hsa04150;WP107;WP2034;WP2380;WP2637;WP2817;WP3850;WP3879;WP3888;WP3915;WP3932;WP4172;WP4549;WP4566;WP4674;WP4806;WP481;WP4877;WP516;WP585
TNFSF18,path:hsa04060
ACSL6,path:hsa04920;path:hsa04216;path:hsa04146;path:hsa04714;path:hsa00071;path:hsa00061;path:hsa03320;WP143;WP357;WP3942;WP4313;WP4321;WP5061
FZD2,path:hsa05022;path:hsa04934;path:hsa05226;path:hsa05224;path:hsa04310;path:hsa05010;path:hsa04550;path:hsa05217;path:hsa05225;path:hsa04390;path:hsa05205;path:hsa05200;path:hsa04916;path:hsa04150;path:hsa05165;WP1544;WP3680;WP3931;WP399;WP4150;WP4239;WP4258;WP4262;WP428;WP4336;WP4787
PRDM14,WP2853
MRPS10,path:hsa03010
DHCR24,path:hsa00100;WP465;WP4718;WP4804
RAPGEF4,path:hsa04911;path:hsa04261;path:hsa04024;path:hsa04015;path:hsa04072;path:hsa04670
GAL,path:hsa04080;WP2817
MRPL23,path:hsa03010
APOBEC3F,path:hsa05170
RPH3A,WP2291;WP4875
SNF8,path:hsa04144
CD40LG,path:hsa05340;path:hsa04514;path:hsa04660;path:hsa05330;path:hsa05416;path:hsa05322;path:hsa05320;path:hsa05144;path:hsa05417;path:hsa05310;path:hsa05145;path:hsa04064;path:hsa04060;path:hsa04672;WP2328;WP3617;WP3863;WP4298;WP4341;WP4494;WP453
POLR3A,path:hsa04623;path:hsa03020;WP4022;WP4655
DUOXA2,path:hsa04918;WP4746
HERC3,path:hsa04120
PI4K2A,path:hsa00562;path:hsa04070;WP2203;WP363
ADRA1D,path:hsa04261;path:hsa04270;path:hsa04020;path:hsa04970;path:hsa04080;path:hsa04022;WP117;WP455;WP536;WP58
MGLL,path:hsa04923;path:hsa00561;path:hsa04714;path:hsa04723;WP4321;WP4746
VCL,path:hsa04510;path:hsa05100;path:hsa04520;path:hsa05146;path:hsa04810;path:hsa05131;path:hsa04670;WP185;WP2572;WP306;WP3888;WP4560;WP4685;WP51
PTPN5,path:hsa04010;WP382;WP437;WP4549
PILRB,path:hsa05168
BHLHA15,path:hsa04950
FGF10,path:hsa04151;path:hsa05218;path:hsa05226;path:hsa04014;path:hsa05224;path:hsa04810;path:hsa04020;path:hsa04015;path:hsa04010;path:hsa05200;WP1591;WP2848;WP382;WP3927;WP3931;WP3932;WP4147;WP4172;WP4262;WP4657;WP4787;WP51
TAPT1,WP4803
BIRC6,path:hsa04215;path:hsa04120;WP1772
GTF2A1L,path:hsa03022;path:hsa05203
GATA6,WP1591;WP2853;WP2857;WP2858
MSTN,path:hsa04060;WP3850;WP4879;WP516
VAMP7,path:hsa04130
SSX1,path:hsa05202
BDKRB2,path:hsa04610;path:hsa04750;path:hsa04810;path:hsa04071;path:hsa05142;path:hsa04961;path:hsa04020;path:hsa05200;path:hsa04080;path:hsa04022;WP24;WP455;WP4969;WP51;WP554
MYLK4,path:hsa04611;path:hsa04510;path:hsa04921;path:hsa04971;path:hsa04810;path:hsa04371;path:hsa04270;path:hsa04020;path:hsa04022;WP306
LPCAT4,path:hsa00565;path:hsa00564
OR2H1,path:hsa04740;WP117;WP455
LRTOMT,path:hsa04728;path:hsa00140;path:hsa00350
PODXL,path:hsa05132;WP2572;WP2858;WP3646;WP4758
RGS19,WP289;WP536
CD3G,path:hsa04660;path:hsa05235;path:hsa04659;path:hsa04658;path:hsa05166;path:hsa05142;path:hsa04640;path:hsa05170;path:hsa05169;path:hsa05162;WP4585;WP4884;WP5072;WP69
RAB37,WP3888
PTPRR,path:hsa04010;WP382;WP437
DAZAP2,WP410
IFT52,WP4352;WP4536;WP4803
MLLT3,path:hsa05202
UNC13B,path:hsa04721;WP2267;WP4949;WP727
PAPSS2,path:hsa00450;path:hsa00230;path:hsa00920;WP2018;WP4784;WP692
DSC2,path:hsa05412;WP2118
SLC6A3,path:hsa05022;path:hsa05030;path:hsa05031;path:hsa05034;path:hsa04728;path:hsa05012;path:hsa04721;WP2371;WP2855;WP2882;WP2884;WP727
EGLN1,path:hsa04066;path:hsa05211;path:hsa05200;WP3614;WP4241
